Pokemon,Type,Height,Weight,Abilities,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Simplified Type,image_path
Alolan Meowth,['Dark'],0.4,4.2,"['Pickup', 'Technician, Rattled (hidden ability)']",40,190,284,35,67,185,35,67,185,50,94,218,40,76,196,90,166,306,Dark,/content/Pokemon Images DB/Pokemon Images DB/Alolan Meowth/Alolan Meowth.png
Galarian Meowth,['Steel'],0.4,7.5,"['Pickup', 'Tough Claws, Unnerve (hidden ability)']",50,210,304,65,121,251,55,103,229,40,76,196,40,76,196,40,76,196,Steel,/content/Pokemon Images DB/Pokemon Images DB/Galarian Meowth/Galarian Meowth.png
Mesprit,['Psychic'],0.3,0.3,['Levitate'],80,270,364,105,193,339,105,193,339,105,193,339,105,193,339,80,148,284,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mesprit/Mesprit.png
Metagross,"['Steel', 'Psychic']",1.6,550.0,"['Clear Body, Light Metal (hidden ability)']",80,270,364,135,247,405,130,238,394,95,175,317,90,166,306,70,130,262,Steel,/content/Pokemon Images DB/Pokemon Images DB/Metagross/Metagross.png
Mega Metagross,"['Steel', 'Psychic']",2.5,942.9,['Tough Claws'],80,270,364,145,265,427,150,274,438,105,193,339,110,202,350,110,202,350,Steel,/content/Pokemon Images DB/Pokemon Images DB/Mega Metagross/Mega Metagross.png
Metang,"['Steel', 'Psychic']",1.2,202.5,"['Clear Body, Light Metal (hidden ability)']",60,230,324,75,139,273,100,184,328,55,103,229,80,148,284,50,94,218,Steel,/content/Pokemon Images DB/Pokemon Images DB/Metang/Metang.png
Metapod,['Bug'],0.7,9.9,['Shed Skin'],50,210,304,20,40,152,55,103,229,25,49,163,25,49,163,30,58,174,Bug,/content/Pokemon Images DB/Pokemon Images DB/Metapod/Metapod.png
Mew,['Psychic'],0.4,4.0,['Synchronize'],100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mew/Mew.png
Mewtwo,['Psychic'],2.0,122.0,"['Pressure, Unnerve (hidden ability)']",106,322,416,110,202,350,90,166,306,154,281,447,90,166,306,130,238,394,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mewtwo/Mewtwo.png
Mega Mewtwo X,"['Psychic', 'Fighting']",2.3,127.0,['Steadfast'],106,322,416,190,346,526,100,184,328,154,281,447,100,184,328,130,238,394,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mega Mewtwo X/Mega Mewtwo X.png
Mega Mewtwo Y,['Psychic'],1.5,33.0,['Insomnia'],106,322,416,150,274,438,70,130,262,194,353,535,120,220,372,140,256,416,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mega Mewtwo Y/Mega Mewtwo Y.png
Mienfoo,['Fighting'],0.9,20.0,"['Inner Focus', 'Regenerator, Reckless (hidden ability)']",45,200,294,85,157,295,50,94,218,55,103,229,50,94,218,65,121,251,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Mienfoo/Mienfoo.png
Mienshao,['Fighting'],1.4,35.5,"['Inner Focus', 'Regenerator, Reckless (hidden ability)']",65,240,334,125,229,383,60,112,240,95,175,317,60,112,240,105,193,339,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Mienshao/Mienshao.png
Mightyena,['Dark'],1.0,37.0,"['Intimidate', 'Quick Feet, Moxie (hidden ability)']",70,250,344,90,166,306,70,130,262,60,112,240,60,112,240,70,130,262,Dark,/content/Pokemon Images DB/Pokemon Images DB/Mightyena/Mightyena.png
Milcery,['Fairy'],0.2,0.3,"['Sweet Veil, Aroma Veil (hidden ability)']",45,200,294,40,76,196,40,76,196,50,94,218,61,114,243,34,65,183,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Milcery/Milcery.png
Milotic,['Water'],6.2,162.0,"['Marvel Scale', 'Competitive, Cute Charm (hidden ability)']",95,300,394,60,112,240,79,146,282,100,184,328,125,229,383,81,150,287,Water,/content/Pokemon Images DB/Pokemon Images DB/Milotic/Milotic.png
Miltank,['Normal'],1.2,75.5,"['Thick Fat', 'Scrappy, Sap Sipper (hidden ability)']",95,300,394,80,148,284,105,193,339,40,76,196,70,130,262,100,184,328,Normal,/content/Pokemon Images DB/Pokemon Images DB/Miltank/Miltank.png
Mime Jr.,"['Psychic', 'Fairy']",0.6,13.0,"['Soundproof', 'Filter, Technician (hidden ability)']",20,150,244,25,49,163,45,85,207,70,130,262,90,166,306,60,112,240,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mime Jr/Mime Jr..png
Mimikyu,"['Ghost', 'Fairy']",0.2,0.7,['Disguise'],55,220,314,90,166,306,80,148,284,50,94,218,105,193,339,96,177,320,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Mimikyu/Mimikyu.png
Minccino,['Normal'],0.4,5.8,"['Cute Charm', 'Technician, Skill Link (hidden ability)']",55,220,314,50,94,218,40,76,196,40,76,196,40,76,196,75,139,273,Normal,/content/Pokemon Images DB/Pokemon Images DB/Minccino/Minccino.png
Minior Meteor Form,"['Rock', 'Flying']",0.3,40.0,['Shields Down'],60,230,324,60,112,240,100,184,328,60,112,240,100,184,328,60,112,240,Rock,/content/Pokemon Images DB/Pokemon Images DB/Minior (Meteor Form)/Minior (Meteor Form).png
Minior Core Form,"['Rock', 'Flying']",0.3,0.3,['Shields Down'],60,230,324,100,184,328,60,112,240,100,184,328,60,112,240,120,220,372,Rock,/content/Pokemon Images DB/Pokemon Images DB/Minior (Core Form)/Minior (Core Form).png
Minun,['Electric'],0.4,4.2,"['Minus, Volt Absorb (hidden ability)']",60,230,324,40,76,196,50,94,218,75,139,273,85,157,295,95,175,317,Electric,/content/Pokemon Images DB/Pokemon Images DB/Minun/Minun.png
Miraidon,"['Electric', 'Dragon']",3.5,240.0,['Hadron Engine'],100,310,404,85,157,295,100,184,328,135,247,405,115,211,361,135,247,405,Electric,/content/Pokemon Images DB/Pokemon Images DB/Miraidon/Miraidon.png
Misdreavus,['Ghost'],0.7,1.0,['Levitate'],60,230,324,60,112,240,60,112,240,85,157,295,85,157,295,85,157,295,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Misdreavus/Misdreavus.png
Mismagius,['Ghost'],0.9,4.4,['Levitate'],60,230,324,60,112,240,60,112,240,105,193,339,105,193,339,105,193,339,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Mismagius/Mismagius.png
Moltres,"['Fire', 'Flying']",2.0,60.0,"['Pressure, Flame Body (hidden ability)']",90,290,384,100,184,328,90,166,306,125,229,383,85,157,295,90,166,306,Fire,/content/Pokemon Images DB/Pokemon Images DB/Moltres/Moltres.png
Galarian Moltres,"['Dark', 'Flying']",2.0,66.0,['Berserk'],90,290,384,85,157,295,90,166,306,100,184,328,125,229,383,90,166,306,Dark,/content/Pokemon Images DB/Pokemon Images DB/Galarian Moltres/Galarian Moltres.png
Monferno,"['Fire', 'Fighting']",0.9,22.0,"['Blaze, Iron Fist (hidden ability)']",64,238,332,78,144,280,52,98,223,78,144,280,52,98,223,81,150,287,Fire,/content/Pokemon Images DB/Pokemon Images DB/Monferno/Monferno.png
Morelull,"['Grass', 'Fairy']",0.2,1.5,"['Illuminate', 'Effect Spore, Rain Dish (hidden ability)']",40,190,284,35,67,185,55,103,229,65,121,251,75,139,273,15,31,141,Grass,/content/Pokemon Images DB/Pokemon Images DB/Morelull/Morelull.png
Morgrem,"['Dark', 'Fairy']",0.8,12.5,"['Prankster', 'Frisk, Pickpocket (hidden ability)']",65,240,334,60,112,240,45,85,207,75,139,273,55,103,229,70,130,262,Dark,/content/Pokemon Images DB/Pokemon Images DB/Morgrem/Morgrem.png
Morpeko Full Belly Mode,"['Electric', 'Dark']",0.3,3.0,['Hunger Switch'],58,226,320,95,175,317,58,108,236,70,130,262,58,108,236,97,179,322,Electric,/content/Pokemon Images DB/Pokemon Images DB/Morpeko (Full Belly Mode)/Morpeko (Full Belly Mode).png
Morpeko Hangry Mode,"['Electric', 'Dark']",0.3,3.0,['Hunger Switch'],58,226,320,95,175,317,58,108,236,70,130,262,58,108,236,97,179,322,Electric,/content/Pokemon Images DB/Pokemon Images DB/Morpeko (Hangry Mode)/Morpeko (Hangry Mode).png
Mothim,"['Bug', 'Flying']",0.9,23.3,"['Swarm, Tinted Lens (hidden ability)']",70,250,344,94,173,315,50,94,218,94,173,315,50,94,218,66,123,254,Bug,/content/Pokemon Images DB/Pokemon Images DB/Mothim/Mothim.png
Mr. Mime,"['Psychic', 'Fairy']",1.3,54.5,"['Soundproof', 'Filter, Technician (hidden ability)']",40,190,284,45,85,207,65,121,251,100,184,328,120,220,372,90,166,306,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Mr. Mime/Mr. Mime.png
Galarian Mr. Mime,"['Ice', 'Psychic']",1.4,56.8,"['Vital Spirit', 'Screen Cleaner, Ice Body (hidden ability)']",50,210,304,65,121,251,65,121,251,90,166,306,90,166,306,100,184,328,Ice,/content/Pokemon Images DB/Pokemon Images DB/Galarian Mr. Mime/Galarian Mr. Mime.png
Mr. Rime,"['Ice', 'Psychic']",1.5,58.2,"['Tangled Feet', 'Screen Cleaner, Ice Body (hidden ability)']",80,270,364,85,157,295,75,139,273,110,202,350,100,184,328,70,130,262,Ice,/content/Pokemon Images DB/Pokemon Images DB/Mr. Rime/Mr. Rime.png
Mudbray,['Ground'],1.0,110.0,"['Own Tempo', 'Stamina, Inner Focus (hidden ability)']",70,250,344,100,184,328,70,130,262,45,85,207,55,103,229,45,85,207,Ground,/content/Pokemon Images DB/Pokemon Images DB/Mudbray/Mudbray.png
Mudkip,['Water'],0.4,7.6,"['Torrent, Damp (hidden ability)']",50,210,304,70,130,262,50,94,218,50,94,218,50,94,218,40,76,196,Water,/content/Pokemon Images DB/Pokemon Images DB/Mudkip/Mudkip.png
Mudsdale,['Ground'],2.5,920.0,"['Own Tempo', 'Stamina, Inner Focus (hidden ability)']",100,310,404,125,229,383,100,184,328,55,103,229,85,157,295,35,67,185,Ground,/content/Pokemon Images DB/Pokemon Images DB/Mudsdale/Mudsdale.png
Muk,['Poison'],1.2,30.0,"['Stench', 'Sticky Hold, Poison Touch (hidden ability)']",105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218,Poison,/content/Pokemon Images DB/Pokemon Images DB/Muk/Muk.png
Alolan Muk,"['Poison', 'Dark']",1.0,52.0,"['Poison Touch', 'Gluttony, Power of Alchemy (hidden ability)']",105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218,Poison,/content/Pokemon Images DB/Pokemon Images DB/Alolan Muk/Alolan Muk.png
Munchlax,['Normal'],0.6,105.0,"['Pickup', 'Thick Fat, Gluttony (hidden ability)']",135,380,474,85,157,295,40,76,196,40,76,196,85,157,295,5,13,119,Normal,/content/Pokemon Images DB/Pokemon Images DB/Munchlax/Munchlax.png
Munkidori,"['Poison', 'Psychic']",1.0,12.2,"['Toxic Chain, Frisk (hidden ability)']",88,286,380,75,139,273,66,123,254,130,238,394,90,166,306,106,195,342,Poison,/content/Pokemon Images DB/Pokemon Images DB/Munkidori/Munkidori.png
Munna,['Psychic'],0.6,23.3,"['Forewarn', 'Synchronize, Telepathy (hidden ability)']",76,262,356,25,49,163,45,85,207,67,125,256,55,103,229,24,47,161,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Munna/Munna.png
Murkrow,"['Dark', 'Flying']",0.5,2.1,"['Insomnia', 'Super Luck, Prankster (hidden ability)']",60,230,324,85,157,295,42,80,201,85,157,295,42,80,201,91,168,309,Dark,/content/Pokemon Images DB/Pokemon Images DB/Murkrow/Murkrow.png
Musharna,['Psychic'],1.1,60.5,"['Forewarn', 'Synchronize, Telepathy (hidden ability)']",116,342,436,55,103,229,85,157,295,107,197,344,95,175,317,29,56,172,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Musharna/Musharna.png
Nacli,['Rock'],0.4,16.0,"['Purifying Salt', 'Sturdy, Clear Body (hidden ability)']",55,220,314,55,103,229,75,139,273,35,67,185,35,67,185,25,49,163,Rock,/content/Pokemon Images DB/Pokemon Images DB/Nacli/Nacli.png
Naclstack,['Rock'],0.6,105.0,"['Purifying Salt', 'Sturdy, Clear Body (hidden ability)']",60,230,324,60,112,240,100,184,328,35,67,185,65,121,251,35,67,185,Rock,/content/Pokemon Images DB/Pokemon Images DB/Naclstack/Naclstack.png
Naganadel,"['Poison', 'Dragon']",3.6,150.0,['Beast Boost'],73,256,350,73,135,269,73,135,269,127,233,388,73,135,269,121,222,375,Poison,/content/Pokemon Images DB/Pokemon Images DB/Naganadel/Naganadel.png
Natu,"['Psychic', 'Flying']",0.2,2.0,"['Synchronize', 'Early Bird, Magic Bounce (hidden ability)']",40,190,284,50,94,218,45,85,207,70,130,262,45,85,207,70,130,262,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Natu/Natu.png
Necrozma,['Psychic'],2.4,230.0,['Prism Armor'],97,304,398,107,197,344,101,186,331,127,233,388,89,164,304,79,146,282,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Necrozma/Necrozma.png
Nickit,['Dark'],0.6,8.9,"['Run Away', 'Unburden, Stakeout (hidden ability)']",40,190,284,28,54,170,28,54,170,47,89,212,52,98,223,50,94,218,Dark,/content/Pokemon Images DB/Pokemon Images DB/Nickit/Nickit.png
Nidoking,"['Poison', 'Ground']",1.4,62.0,"['Poison Point', 'Rivalry, Sheer Force (hidden ability)']",81,272,366,102,188,333,77,143,278,85,157,295,75,139,273,85,157,295,Poison,/content/Pokemon Images DB/Pokemon Images DB/Nidoking/Nidoking.png
Nidoqueen,"['Poison', 'Ground']",1.3,60.0,"['Poison Point', 'Rivalry, Sheer Force (hidden ability)']",90,290,384,92,170,311,87,161,300,75,139,273,85,157,295,76,141,276,Poison,/content/Pokemon Images DB/Pokemon Images DB/Nidoqueen/Nidoqueen.png
Nidorina,['Poison'],0.8,20.0,"['Poison Point', 'Rivalry, Hustle (hidden ability)']",70,250,344,62,116,245,67,125,256,55,103,229,55,103,229,56,105,232,Poison,/content/Pokemon Images DB/Pokemon Images DB/Nidorina/Nidorina.png
Nidorino,['Poison'],0.9,19.5,"['Poison Point', 'Rivalry, Hustle (hidden ability)']",61,232,326,72,134,267,57,107,234,55,103,229,55,103,229,65,121,251,Poison,/content/Pokemon Images DB/Pokemon Images DB/Nidorino/Nidorino.png
Nihilego,"['Rock', 'Poison']",1.2,55.5,['Beast Boost'],109,328,422,53,99,225,47,89,212,127,233,388,131,240,397,103,189,335,Rock,/content/Pokemon Images DB/Pokemon Images DB/Nihilego/Nihilego.png
Nincada,"['Bug', 'Ground']",0.5,5.5,"['Compound Eyes, Run Away (hidden ability)']",31,172,266,45,85,207,90,166,306,30,58,174,30,58,174,40,76,196,Bug,/content/Pokemon Images DB/Pokemon Images DB/Nincada/Nincada.png
Ninetales,['Fire'],1.1,19.9,"['Flash Fire, Drought (hidden ability)']",73,256,350,76,141,276,75,139,273,81,150,287,100,184,328,100,184,328,Fire,/content/Pokemon Images DB/Pokemon Images DB/Ninetales/Ninetales.png
Alolan Ninetales,"['Ice', 'Fairy']",1.1,19.9,"['Snow Cloak, Snow Warning (hidden ability)']",73,256,350,67,125,256,75,139,273,81,150,287,100,184,328,109,200,348,Ice,/content/Pokemon Images DB/Pokemon Images DB/Alolan Ninetales/Alolan Ninetales.png
Ninjask,"['Bug', 'Flying']",0.8,12.0,"['Speed Boost, Infiltrator (hidden ability)']",61,232,326,90,166,306,45,85,207,50,94,218,50,94,218,160,292,460,Bug,/content/Pokemon Images DB/Pokemon Images DB/Ninjask/Ninjask.png
Noctowl,"['Normal', 'Flying']",1.6,40.8,"['Insomnia', 'Keen Eye, Tinted Lens (hidden ability)']",100,310,404,50,94,218,50,94,218,86,159,298,96,177,320,70,130,262,Normal,/content/Pokemon Images DB/Pokemon Images DB/Noctowl/Noctowl.png
Noibat,"['Flying', 'Dragon']",0.5,8.0,"['Frisk', 'Infiltrator, Telepathy (hidden ability)']",40,190,284,30,58,174,35,67,185,45,85,207,40,76,196,55,103,229,Flying,/content/Pokemon Images DB/Pokemon Images DB/Noibat/Noibat.png
Noivern,"['Flying', 'Dragon']",1.5,85.0,"['Frisk', 'Infiltrator, Telepathy (hidden ability)']",85,280,374,70,130,262,80,148,284,97,179,322,80,148,284,123,225,379,Flying,/content/Pokemon Images DB/Pokemon Images DB/Noivern/Noivern.png
Nosepass,['Rock'],1.0,97.0,"['Sturdy', 'Magnet Pull, Sand Force (hidden ability)']",30,170,264,45,85,207,135,247,405,45,85,207,90,166,306,30,58,174,Rock,/content/Pokemon Images DB/Pokemon Images DB/Nosepass/Nosepass.png
Numel,"['Fire', 'Ground']",0.7,24.0,"['Oblivious', 'Simple, Own Tempo (hidden ability)']",60,230,324,60,112,240,40,76,196,65,121,251,45,85,207,35,67,185,Fire,/content/Pokemon Images DB/Pokemon Images DB/Numel/Numel.png
Nuzleaf,"['Grass', 'Dark']",1.0,28.0,"['Chlorophyll', 'Early Bird, Pickpocket (hidden ability)']",70,250,344,70,130,262,40,76,196,60,112,240,40,76,196,60,112,240,Grass,/content/Pokemon Images DB/Pokemon Images DB/Nuzleaf/Nuzleaf.png
Nymble,['Bug'],0.2,1.0,"['Swarm, Tinted Lens (hidden ability)']",33,176,270,46,87,210,40,76,196,21,42,155,25,49,163,45,85,207,Bug,/content/Pokemon Images DB/Pokemon Images DB/Nymble/Nymble.png
Obstagoon,"['Dark', 'Normal']",1.6,46.0,"['Reckless', 'Guts, Defiant (hidden ability)']",93,296,390,90,166,306,101,186,331,60,112,240,81,150,287,95,175,317,Dark,/content/Pokemon Images DB/Pokemon Images DB/Obstagoon/Obstagoon.png
Octillery,['Water'],0.9,28.5,"['Suction Cups', 'Sniper, Moody (hidden ability)']",75,260,354,105,193,339,75,139,273,105,193,339,75,139,273,45,85,207,Water,/content/Pokemon Images DB/Pokemon Images DB/Octillery/Octillery.png
Oddish,"['Grass', 'Poison']",0.5,5.4,"['Chlorophyll, Run Away (hidden ability)']",45,200,294,50,94,218,55,103,229,75,139,273,65,121,251,30,58,174,Grass,/content/Pokemon Images DB/Pokemon Images DB/Oddish/Oddish.png
Ogerpon Teal Mask,['Grass'],1.2,39.8,['Defiant'],80,270,364,120,220,372,84,155,293,60,112,240,96,177,320,110,202,350,Grass,/content/Pokemon Images DB/Pokemon Images DB/Ogerpon (Teal Mask)/Ogerpon (Teal Mask).png
Oinkologne Male,['Normal'],1.0,120.0,"['Lingering Aroma', 'Gluttony, Thick Fat (hidden ability)']",110,330,424,100,184,328,75,139,273,59,110,238,80,148,284,65,121,251,Normal,/content/Pokemon Images DB/Pokemon Images DB/Oinkologne (Male)/Oinkologne (Male).png
Oinkologne Female,['Normal'],1.0,120.0,"['Aroma Veil', 'Gluttony, Thick Fat (hidden ability)']",115,340,434,90,166,306,70,130,262,59,110,238,90,166,306,65,121,251,Normal,/content/Pokemon Images DB/Pokemon Images DB/Oinkologne (Female)/Oinkologne (Female).png
Okidogi,"['Poison', 'Fighting']",1.8,92.0,"['Toxic Chain, Guard Dog (hidden ability)']",88,286,380,128,234,390,115,211,361,58,108,236,86,159,298,80,148,284,Poison,/content/Pokemon Images DB/Pokemon Images DB/Okidogi/Okidogi.png
Omanyte,"['Rock', 'Water']",0.4,7.5,"['Swift Swim', 'Shell Armor, Weak Armor (hidden ability)']",35,180,274,40,76,196,100,184,328,90,166,306,55,103,229,35,67,185,Rock,/content/Pokemon Images DB/Pokemon Images DB/Omanyte/Omanyte.png
Omastar,"['Rock', 'Water']",1.0,35.0,"['Swift Swim', 'Shell Armor, Weak Armor (hidden ability)']",70,250,344,60,112,240,125,229,383,115,211,361,70,130,262,55,103,229,Rock,/content/Pokemon Images DB/Pokemon Images DB/Omastar/Omastar.png
Onix,"['Rock', 'Ground']",8.8,210.0,"['Rock Head', 'Sturdy, Weak Armor (hidden ability)']",35,180,274,45,85,207,160,292,460,30,58,174,45,85,207,70,130,262,Rock,/content/Pokemon Images DB/Pokemon Images DB/Onix/Onix.png
Oranguru,"['Normal', 'Psychic']",1.5,76.0,"['Inner Focus', 'Telepathy, Symbiosis (hidden ability)']",90,290,384,60,112,240,80,148,284,90,166,306,110,202,350,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Oranguru/Oranguru.png
Orbeetle,"['Bug', 'Psychic']",0.4,40.8,"['Swarm', 'Frisk, Telepathy (hidden ability)']",60,230,324,45,85,207,110,202,350,80,148,284,120,220,372,90,166,306,Bug,/content/Pokemon Images DB/Pokemon Images DB/Orbeetle/Orbeetle.png
Oricorio Baile Style,"['Fire', 'Flying']",0.6,3.4,['Dancer'],75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313,Fire,/content/Pokemon Images DB/Pokemon Images DB/Oricorio (Baile Style)/Oricorio (Baile Style).png
Oricorio Pom-Pom Style,"['Electric', 'Flying']",0.6,3.4,['Dancer'],75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313,Electric,/content/Pokemon Images DB/Pokemon Images DB/Oricorio (Pom-Pom Style)/Oricorio (Pom-Pom Style).png
Oricorio Pa'u Style,"['Psychic', 'Flying']",0.6,3.4,['Dancer'],75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Oricorio (Pa_u Style)/Oricorio (Pa_u Style).png
Oricorio Sensu Style,"['Ghost', 'Flying']",0.6,3.4,['Dancer'],75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Oricorio (Sensu Style)/Oricorio (Sensu Style).png
Orthworm,['Steel'],2.5,310.0,"['Earth Eater, Sand Veil (hidden ability)']",70,250,344,85,157,295,145,265,427,60,112,240,55,103,229,65,121,251,Steel,/content/Pokemon Images DB/Pokemon Images DB/Orthworm/Orthworm.png
Oshawott,['Water'],0.5,5.9,"['Torrent, Shell Armor (hidden ability)']",55,220,314,55,103,229,45,85,207,63,117,247,45,85,207,45,85,207,Water,/content/Pokemon Images DB/Pokemon Images DB/Oshawott/Oshawott.png
Overqwil,"['Dark', 'Poison']",2.5,60.5,"['Poison Point', 'Swift Swim, Intimidate (hidden ability)']",85,280,374,115,211,361,95,175,317,65,121,251,65,121,251,85,157,295,Dark,/content/Pokemon Images DB/Pokemon Images DB/Overqwil/Overqwil.png
Pachirisu,['Electric'],0.4,3.9,"['Run Away', 'Pickup, Volt Absorb (hidden ability)']",60,230,324,45,85,207,70,130,262,45,85,207,90,166,306,95,175,317,Electric,/content/Pokemon Images DB/Pokemon Images DB/Pachirisu/Pachirisu.png
Palafin Zero Form,['Water'],1.3,60.2,['Zero to Hero'],100,310,404,70,130,262,72,134,267,53,99,225,62,116,245,100,184,328,Water,/content/Pokemon Images DB/Pokemon Images DB/Palafin (Zero Form)/Palafin (Zero Form).png
Palafin Hero Form,['Water'],1.8,97.4,['Zero to Hero'],100,310,404,160,292,460,97,179,322,106,195,342,87,161,300,100,184,328,Water,/content/Pokemon Images DB/Pokemon Images DB/Palafin (Hero Form)/Palafin (Hero Form).png
Palkia,"['Water', 'Dragon']",4.2,336.0,"['Pressure, Telepathy (hidden ability)']",90,290,384,120,220,372,100,184,328,150,274,438,120,220,372,100,184,328,Water,/content/Pokemon Images DB/Pokemon Images DB/Palkia/Palkia.png
Palkia Origin Forme,"['Water', 'Dragon']",6.3,660.0,"['Pressure, Telepathy (hidden ability)']",90,290,384,100,184,328,100,184,328,150,274,438,120,220,372,120,220,372,Water,/content/Pokemon Images DB/Pokemon Images DB/Palkia (Origin Forme)/Palkia (Origin Forme).png
Palossand,"['Ghost', 'Ground']",1.3,250.0,"['Water Compaction, Sand Veil (hidden ability)']",85,280,374,75,139,273,110,202,350,100,184,328,75,139,273,35,67,185,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Palossand/Palossand.png
Palpitoad,"['Water', 'Ground']",0.8,17.0,"['Swift Swim', 'Hydration, Water Absorb (hidden ability)']",75,260,354,65,121,251,55,103,229,65,121,251,55,103,229,69,128,260,Water,/content/Pokemon Images DB/Pokemon Images DB/Palpitoad/Palpitoad.png
Pancham,['Fighting'],0.6,8.0,"['Iron Fist', 'Mold Breaker, Scrappy (hidden ability)']",67,244,338,82,152,289,62,116,245,46,87,210,48,90,214,43,81,203,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Pancham/Pancham.png
Pangoro,"['Fighting', 'Dark']",2.1,136.0,"['Iron Fist', 'Mold Breaker, Scrappy (hidden ability)']",95,300,394,124,227,381,78,144,280,69,128,260,71,132,265,58,108,236,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Pangoro/Pangoro.png
Panpour,['Water'],0.6,13.5,"['Gluttony, Torrent (hidden ability)']",50,210,304,53,99,225,48,90,214,53,99,225,48,90,214,64,119,249,Water,/content/Pokemon Images DB/Pokemon Images DB/Panpour/Panpour.png
Pansage,['Grass'],0.6,10.5,"['Gluttony, Overgrow (hidden ability)']",50,210,304,53,99,225,48,90,214,53,99,225,48,90,214,64,119,249,Grass,/content/Pokemon Images DB/Pokemon Images DB/Pansage/Pansage.png
Pansear,['Fire'],0.6,11.0,"['Gluttony, Blaze (hidden ability)']",50,210,304,53,99,225,48,90,214,53,99,225,48,90,214,64,119,249,Fire,/content/Pokemon Images DB/Pokemon Images DB/Pansear/Pansear.png
Paras,"['Bug', 'Grass']",0.3,5.4,"['Effect Spore', 'Dry Skin, Damp (hidden ability)']",35,180,274,70,130,262,55,103,229,45,85,207,55,103,229,25,49,163,Bug,/content/Pokemon Images DB/Pokemon Images DB/Paras/Paras.png
Parasect,"['Bug', 'Grass']",1.0,29.5,"['Effect Spore', 'Dry Skin, Damp (hidden ability)']",60,230,324,95,175,317,80,148,284,60,112,240,80,148,284,30,58,174,Bug,/content/Pokemon Images DB/Pokemon Images DB/Parasect/Parasect.png
Passimian,['Fighting'],2.0,82.8,"['Receiver, Defiant (hidden ability)']",100,310,404,120,220,372,90,166,306,40,76,196,60,112,240,80,148,284,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Passimian/Passimian.png
Patrat,['Normal'],0.5,11.6,"['Run Away', 'Keen Eye, Analytic (hidden ability)']",45,200,294,55,103,229,39,74,194,35,67,185,39,74,194,42,80,201,Normal,/content/Pokemon Images DB/Pokemon Images DB/Patrat/Patrat.png
Pawmi,['Electric'],0.3,2.5,"['Static', 'Natural Cure, Iron Fist (hidden ability)']",45,200,294,50,94,218,20,40,152,40,76,196,25,49,163,60,112,240,Electric,/content/Pokemon Images DB/Pokemon Images DB/Pawmi/Pawmi.png
Pawmo,"['Electric', 'Fighting']",0.4,6.5,"['Volt Absorb', 'Natural Cure, Iron Fist (hidden ability)']",60,230,324,75,139,273,40,76,196,50,94,218,40,76,196,85,157,295,Electric,/content/Pokemon Images DB/Pokemon Images DB/Pawmo/Pawmo.png
Pawmot,"['Electric', 'Fighting']",0.9,41.0,"['Volt Absorb', 'Natural Cure, Iron Fist (hidden ability)']",70,250,344,115,211,361,70,130,262,70,130,262,60,112,240,105,193,339,Electric,/content/Pokemon Images DB/Pokemon Images DB/Pawmot/Pawmot.png
Pawniard,"['Dark', 'Steel']",0.5,10.2,"['Defiant', 'Inner Focus, Pressure (hidden ability)']",45,200,294,85,157,295,70,130,262,40,76,196,40,76,196,60,112,240,Dark,/content/Pokemon Images DB/Pokemon Images DB/Pawniard/Pawniard.png
